ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDYY98812,Calisto\CS-715,Ms. Nancy Lambert,F,2012-08-06,2021-04-07,2021-04-27,0,United Arab Emirates,Mauritania,6624.47,2,1,2,1120.53
IDYY76567,Calisto\CS-234,Mr. Wallace Maillet,M,1989-09-11,2021-05-23,2021-08-15,1,Central African Republic,Liberia,3358.26,0,0,2,1076.0
IDYY73702,Calisto\CS-121,Ms. Tina Ranck,F,1998-01-27,2021-08-17,2021-09-27,1,Brunei,El Salvador,16724.5,2,0,2,2983.12
IDYY76991,Calisto\CS-665,Ms. Addie Hobbs,F,1980-08-02,2021-05-17,2021-08-31,1,Iran,Belize,13201.17,1,1,2,2286.76
IDXX53781,Adonis\AS-824,Ms. Maria Carroll,F,1999-06-22,2021-01-18,2021-11-09,1,Somalia,Azerbaijan,3897.54,1,1,1,709.45
IDYY80228,Calisto\CS-112,Mr. Gerald Cooke,M,2016-12-05,2021-11-06,2022-07-08,0,Togo,Nepal,8911.13,0,1,1,1025.87
IDYY89029,Calisto\CS-563,Mr. Austin Messenger,M,2006-04-15,2021-10-24,2022-06-02,1,Bangladesh,Bahrain,4006.02,1,1,1,660.89
IDZZ79421,Omega\OG-902,Ms. Marisha Morse,F,2007-06-25,2021-01-10,2021-06-02,0,Turks and Caicos Islands,Dominica,1302.84,1,0,2,462.6
IDZZ06640,Omega\OG-034,Ms. Amanda Salo,F,1983-03-04,2021-02-28,2021-11-21,1,Faroe Islands,Djibouti,6823.74,2,0,2,1118.69
IDXX31051,Adonis\AS-002,Mr. Bert Stevens,M,1989-08-20,2021-02-18,2021-03-01,1,India,Swaziland,7332.33,1,0,2,1855.2
IDYY23353,Calisto\CS-694,Ms. Julie Barnes,F,2010-10-31,2021-12-26,2022-11-13,0,Ghana,British Indian Ocean Territory,8247.24,2,0,2,1497.81
IDZZ99110,Omega\OG-610,Ms. Zofia Pierce,F,2012-08-01,2021-03-30,2021-09-11,0,United States,Togo,10014.79,2,1,2,1248.39
IDYY59548,Calisto\CS-229,Ms. Susan Nugent,F,1998-10-31,2021-05-15,2021-11-09,1,Belarus,Armenia,8825.49,2,0,2,623.85
IDZZ30898,Omega\OG-883,Mr. Adam Adkins,M,1987-11-13,2021-04-26,2022-02-12,1,Côte d'Ivoire,Sri Lanka,9501.21,2,0,2,1442.69
