ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDXX10239,Adonis\AS-090,Mr. Garrett Gillard,M,2019-09-24,2021-10-27,2022-10-19,0,Liechtenstein,Singapore,10230.57,2,1,1,1101.61
IDYY87569,Calisto\CS-479,Mr. Robert Morris,M,2016-12-18,2021-04-21,2021-12-16,0,Ecuador,Guinea,7700.45,2,1,1,719.39
IDYY64607,Calisto\CS-464,Mr. Scott Mckinney,M,2006-02-23,2021-11-22,2022-05-22,1,Guinea,Réunion,7922.79,2,0,2,1562.03
IDXX14753,Adonis\AS-198,Ms. Mia Rosenthal,F,1988-04-26,2021-07-31,2021-09-21,1,Afghanistan,Malaysia,4847.83,1,1,2,1238.81
IDXX55257,Adonis\AS-693,Mr. Kenneth Gatlin,M,1986-02-28,2021-08-01,2021-09-30,1,Dominica,Madagascar,12444.19,2,0,2,
IDYY31914,Calisto\CS-350,Ms. Tiffany Gonzalez,F,1983-02-28,2021-04-29,2022-01-22,1,Saint Kitts and Nevis,Indonesia,18157.74,2,0,2,3204.93
IDYY31573,Calisto\CS-828,Mr. Cruz Hill,M,2010-07-26,2021-07-13,2022-07-12,0,United Arab Emirates,Bolivia,13486.42,2,0,1,1255.14
IDXX85933,Adonis\AS-141,Ms. Ruthie Walsh,F,2004-10-05,2021-08-23,2022-06-09,1,Libya,Faroe Islands,4346.82,0,1,1,845.45
IDYY23391,Calisto\CS-386,Mr. Tony Hayes,M,1980-10-03,2021-08-04,2022-04-13,1,Poland,Bolivia,10952.54,2,1,1,1060.12
IDZZ48146,Omega\OG-171,Mr. Steven Mccutchan,M,2016-01-19,2021-05-10,2021-09-16,0,Cuba,Nicaragua,1245.21,0,1,2,500.22
IDYY55143,Calisto\CS-578,Ms. Doris Crum,F,2003-02-16,2021-01-22,2021-06-20,1,India,Bouvet Island,10980.01,2,0,2,
IDXX03732,Adonis\AS-751,Mr. Vernon Pickett,M,2009-09-19,2021-09-09,2022-06-01,0,Slovakia,Guyana,8777.47,2,1,1,972.47
IDXX10309,Adonis\AS-103,Ms. Joanne Klein,F,2001-04-16,2021-09-04,2022-02-06,1,Nicaragua,Saint Helena,9145.04,2,1,2,1916.61
IDYY88679,Calisto\CS-634,Mr. Leo Day,M,1991-08-05,2021-04-26,2021-11-30,1,Central African Republic,Nigeria,1379.96,0,1,1,583.02
IDYY02210,Calisto\CS-287,Ms. Nora Davis,F,2002-03-15,2021-11-05,2022-03-19,1,Palau,Lithuania,10611.34,1,1,2,1895.77
IDXX33194,Adonis\AS-663,Mr. Kendall Fleming,M,1982-09-20,2021-08-28,2022-01-27,1,Bolivia,New Caledonia,13253.52,1,0,2,
IDZZ73988,Omega\OG-864,Ms. Christy Betancourt,F,1996-09-08,2021-10-08,2022-06-15,1,French Southern Territories,Guernsey,12956.67,1,1,1,1074.79
IDXX74882,Adonis\AS-610,Mr. Myron Freeman,M,2019-05-03,2021-11-26,2022-09-02,0,Papua New Guinea,Bangladesh,6708.73,0,0,1,1075.96
IDYY75006,Calisto\CS-599,Mr. Aaron Kulikowski,M,1993-01-20,2021-04-29,2021-06-13,1,Benin,Australia,14614.9,1,1,3,
