ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDZZ26773,Omega\OG-096,Ms. Monica Lopez,F,1992-01-24,2021-07-04,2021-09-02,1,Bermuda,Saint Vincent and the Grenadines,2181.44,2,0,2,557.7
IDXX08638,Adonis\AS-755,Ms. Julie Wallace,F,2011-05-26,2021-08-08,2022-02-04,0,Kenya,Cook Islands,16988.14,1,1,1,1792.08
IDYY11868,Calisto\CS-609,Mr. Marcus Williams,M,1980-12-11,2021-11-13,2022-06-03,1,Cayman Islands,Switzerland,8359.87,2,1,1,870.98
IDYY17688,Calisto\CS-269,Mr. Reginald White,M,2001-04-15,2021-02-22,2021-07-09,1,Gabon,Uganda,2314.68,0,0,2,908.82
IDYY01230,Calisto\CS-546,Mr. David Vega,M,2010-03-01,2021-12-24,2022-05-31,0,Qatar,Senegal,6911.42,2,1,2,1152.85
IDYY63417,Calisto\CS-267,Mr. Joshua Agnew,M,2003-08-21,2021-09-26,2021-11-22,1,Ireland,Thailand,9822.83,2,1,2,1682.05
IDXX80544,Adonis\AS-497,Ms. Mary Thelen,F,1987-05-07,2021-05-29,2022-03-21,1,Guernsey,Eritrea,5400.55,2,1,1,772.41
IDYY83373,Calisto\CS-135,Mr. Lawrence Knighten,M,1991-10-19,2021-04-11,2022-03-31,1,Spain,Nicaragua,8376.16,2,0,1,965.64
IDYY78440,Calisto\CS-583,Ms. Maria Tate,F,1984-11-18,2021-07-15,2022-02-05,1,Guatemala,Côte d'Ivoire,9225.1,0,0,2,2011.99
IDYY08956,Calisto\CS-033,Mr. Allen Johnson,M,2018-06-13,2021-11-05,2022-07-02,0,Namibia,Guam,14291.2,1,1,2,2329.94
IDZZ49709,Omega\OG-547,Ms. Connie Zeitler,F,2015-08-19,2021-11-25,2022-08-03,0,Zimbabwe,Saint Lucia,10532.31,2,0,1,829.64
IDXX10601,Adonis\AS-238,Ms. Elsie Rivenburg,F,1999-08-22,2021-03-24,2022-01-15,1,Libya,Aruba,9129.34,2,1,2,1908.34
IDYY35127,Calisto\CS-498,Mr. Edgar Wenz,M,1994-06-26,2021-04-16,2021-07-22,1,Tonga,Nepal,12121.58,1,0,2,2352.03
IDYY63617,Calisto\CS-319,Ms. Jackie Barcus,F,1989-03-12,2021-05-28,2021-06-20,1,Micronesia,Martinique,15772.94,2,1,3,3678.2
IDZZ18163,Omega\OG-588,Mr. Craig Ransler,M,2014-12-06,2021-01-22,2022-01-04,0,United Arab Emirates,Jordan,1916.68,0,1,1,469.72
IDZZ82644,Omega\OG-382,Mr. Jason Martin,M,1980-01-06,2021-07-28,2021-12-22,1,Netherlands,Brunei,10922.12,1,0,2,1714.08
IDZZ53016,Omega\OG-611,Mr. Melvin Vanochten,M,2012-05-11,2021-12-10,2022-02-02,0,Burundi,Cambodia,8484.57,2,1,2,1087.22
IDZZ80462,Omega\OG-281,Mr. Arthur Gomez,M,1991-08-06,2021-03-28,2022-01-05,1,Netherlands,Philippines,10598.91,1,1,1,942.53
